user_id,age,tenure_days,region,device,prior_spend_12m,sessions_30d,offer_received,upgraded_to_new_tier,new_tier_monthly_revenue
129,37,369,LATAM,Web,8.9,4,1,0,0.0
130,34,748,NA,iOS,1.33,16,0,0,0.0
131,55,919,NA,iOS,2.36,12,0,0,0.0
132,49,67,EU,Android,2.54,8,0,1,13.11
133,32,1187,NA,Android,4.15,9,1,0,0.0
134,53,185,LATAM,iOS,2.59,5,0,0,0.0
135,37,765,NA,iOS,0.35,15,0,1,4.93
136,19,679,LATAM,Android,0.42,14,0,0,0.0
137,45,157,NA,iOS,1.77,3,0,0,0.0
138,18,995,NA,Android,3.74,2,0,0,0.0
139,42,1184,LATAM,Android,4.41,4,0,0,0.0
140,47,187,LATAM,iOS,3.04,13,1,0,0.0
141,18,594,APAC,Web,1.34,9,1,1,8.28
142,25,1064,NA,iOS,13.51,5,1,1,8.47
143,34,797,EU,iOS,1.89,9,0,0,0.0
144,18,268,NA,Android,5.69,8,1,0,0.0
145,52,596,EU,iOS,0.77,9,1,0,0.0
146,52,898,NA,iOS,3.27,13,0,0,0.0
147,35,502,NA,Android,0.64,4,0,0,0.0
148,51,568,NA,Web,3.04,12,1,0,0.0
149,40,81,EU,Android,2.8,7,1,0,0.0
150,23,795,EU,Android,0.82,10,0,0,0.0
151,33,847,NA,iOS,7.51,13,0,1,9.35
152,34,212,NA,iOS,3.59,10,0,0,0.0
153,30,720,APAC,Android,2.39,12,0,0,0.0
154,22,462,NA,Android,1.76,21,1,1,5.71
155,53,187,APAC,Android,0.9,4,0,0,0.0
156,53,808,APAC,Android,5.12,22,1,0,0.0
157,64,186,NA,Web,1.81,9,1,0,0.0
158,37,528,APAC,Web,4.43,8,1,0,0.0
159,39,323,EU,Android,2.1,13,1,0,0.0
160,28,1005,NA,Android,1.7,6,0,0,0.0
161,37,437,NA,Android,4.74,9,0,0,0.0
162,44,207,NA,Android,2.86,10,0,0,0.0
163,54,677,EU,iOS,6.36,8,1,0,0.0
164,40,1104,LATAM,Web,4.35,5,1,0,0.0
165,27,666,NA,iOS,3.65,13,1,1,10.84
166,26,1105,NA,Web,2.87,3,0,0,0.0
167,57,900,APAC,iOS,0.59,12,0,1,6.99
168,20,139,LATAM,Android,3.06,13,1,0,0.0
169,40,152,NA,Android,3.32,17,1,0,0.0
170,49,208,NA,iOS,5.94,13,0,0,0.0
171,25,142,EU,iOS,3.67,2,1,0,0.0
172,27,434,EU,iOS,0.92,12,0,0,0.0
173,23,1143,NA,Web,3.32,10,0,0,0.0
174,30,609,LATAM,Web,0.57,21,1,1,5.53
175,55,1159,NA,Web,6.35,8,1,0,0.0
176,55,999,EU,iOS,3.99,12,1,0,0.0
177,56,892,NA,iOS,0.48,11,1,1,14.0
178,23,165,NA,iOS,3.03,8,1,0,0.0
179,51,73,APAC,Android,0.96,18,0,0,0.0
180,31,379,LATAM,Web,1.54,5,0,0,0.0
181,50,944,APAC,Android,23.13,9,0,0,0.0
182,44,442,LATAM,iOS,11.22,12,0,0,0.0
183,44,340,LATAM,Web,9.65,10,0,1,27.77
184,39,754,NA,Web,1.43,1,0,0,0.0
185,35,643,EU,iOS,28.91,5,0,0,0.0
186,31,603,NA,Android,2.93,11,0,0,0.0
187,43,649,NA,Android,10.09,10,1,0,0.0
188,31,851,EU,Android,1.34,3,0,0,0.0
189,39,31,NA,iOS,2.92,9,1,1,24.1
190,28,1020,EU,iOS,6.49,10,1,1,8.57
191,38,1197,NA,iOS,2.54,3,1,0,0.0
192,32,561,EU,Android,3.68,10,1,0,0.0
193,44,590,EU,Web,0.82,22,1,1,12.69
194,32,509,NA,Android,7.33,16,1,0,0.0
195,53,296,NA,Web,3.16,10,0,0,0.0
196,61,532,NA,Android,1.51,7,0,0,0.0
197,18,285,NA,iOS,3.52,5,0,1,4.35
198,34,202,NA,Web,1.25,7,0,0,0.0
199,19,437,EU,Web,1.69,0,0,0,0.0
200,25,1187,EU,Android,0.75,8,0,0,0.0
201,48,864,NA,Android,2.73,18,1,0,0.0
202,54,335,APAC,iOS,1.6,5,0,0,0.0
203,63,139,EU,iOS,3.81,16,1,0,0.0
204,46,777,APAC,iOS,0.4,11,1,0,0.0
205,55,482,APAC,iOS,5.86,9,1,0,0.0
206,24,709,EU,Android,29.51,3,0,0,0.0
207,21,584,EU,Web,1.47,12,0,0,0.0
208,24,1138,LATAM,Android,1.82,5,1,1,7.96
209,39,124,NA,Android,2.75,15,0,0,0.0
210,63,1138,EU,Android,2.44,10,1,0,0.0
211,42,315,APAC,Android,4.49,19,1,0,0.0
212,56,1131,EU,iOS,1.94,10,0,0,0.0
213,51,201,NA,iOS,3.31,9,0,0,0.0
214,27,438,EU,iOS,5.81,4,0,0,0.0
215,35,762,EU,Android,1.65,25,0,1,18.08
216,38,757,LATAM,iOS,20.19,6,0,0,0.0
217,63,483,EU,iOS,12.84,4,0,0,0.0
218,39,558,NA,Web,3.82,2,1,0,0.0
219,46,545,LATAM,Android,0.38,3,1,0,0.0
220,58,53,NA,iOS,0.89,8,0,0,0.0
221,39,591,NA,iOS,4.79,6,1,0,0.0
222,63,751,EU,Web,1.58,11,1,0,0.0
223,51,1076,NA,iOS,0.48,11,0,0,0.0
224,41,732,APAC,iOS,4.84,13,1,0,0.0
225,51,211,LATAM,Android,5.23,3,0,0,0.0
226,58,78,APAC,Android,6.99,4,1,0,0.0
227,32,703,NA,iOS,1.4,2,0,0,0.0
228,63,869,APAC,Android,3.92,9,0,0,0.0
229,19,240,NA,iOS,1.14,6,1,1,7.79
230,40,701,EU,iOS,0.6,5,1,0,0.0
231,47,294,APAC,iOS,2.4,13,0,0,0.0
232,64,538,EU,iOS,1.4,19,0,1,2.61
233,62,1168,APAC,iOS,0.5,14,1,0,0.0
234,57,362,NA,iOS,1.11,14,1,1,9.32
235,34,462,APAC,Android,0.27,3,1,0,0.0
236,19,608,NA,Android,14.05,14,1,0,0.0
237,51,798,NA,Android,1.47,12,1,0,0.0
238,44,112,EU,Android,9.56,11,0,0,0.0
239,59,946,EU,iOS,8.11,5,1,1,11.19
240,18,1111,LATAM,Android,1.07,5,0,0,0.0
241,23,848,LATAM,Android,1.1,16,0,0,0.0
242,26,1063,LATAM,Android,0.9,1,0,0,0.0
243,50,904,NA,Android,2.34,6,1,1,10.61
244,65,93,NA,Android,1.23,17,0,0,0.0
245,54,803,APAC,Android,1.22,10,0,0,0.0
246,44,606,LATAM,Android,1.49,18,0,0,0.0
247,55,194,EU,Android,3.02,6,1,1,14.69
248,33,571,EU,iOS,21.6,6,0,0,0.0
249,62,162,APAC,Android,8.54,9,1,0,0.0
250,46,720,LATAM,Android,1.09,3,0,0,0.0
251,65,1032,APAC,iOS,7.53,9,0,1,16.37
252,51,675,NA,Android,4.17,10,1,0,0.0
253,61,1018,APAC,iOS,0.96,17,0,0,0.0
254,63,833,EU,Web,6.31,15,0,0,0.0
255,35,755,APAC,Web,16.0,4,0,1,9.31
256,45,885,NA,Android,8.86,4,0,0,0.0
257,65,283,NA,Android,1.8,4,1,0,0.0
258,31,456,APAC,Android,0.85,8,0,1,12.12
259,47,1033,LATAM,Android,1.91,23,1,1,17.62
260,52,733,LATAM,iOS,0.62,10,1,0,0.0
261,39,165,EU,Android,0.53,7,0,0,0.0
262,60,631,NA,Android,10.56,6,0,0,0.0
263,24,904,APAC,Android,4.5,5,0,0,0.0
264,59,795,LATAM,iOS,8.37,10,1,0,0.0
265,62,297,NA,iOS,7.5,11,0,0,0.0
266,25,178,APAC,Android,4.09,5,0,0,0.0
267,38,1028,NA,Android,1.75,4,1,0,0.0
268,26,797,EU,Android,0.61,11,0,0,0.0
269,31,1197,APAC,Android,5.07,5,0,1,4.35
270,27,815,APAC,Android,1.06,5,0,0,0.0
271,59,830,NA,iOS,3.43,15,0,0,0.0
272,22,503,EU,iOS,0.87,14,0,0,0.0
273,26,380,NA,Android,3.19,9,0,0,0.0
274,22,1112,EU,iOS,1.99,23,0,1,12.63
275,52,1005,NA,iOS,6.26,9,1,0,0.0
276,55,1154,APAC,iOS,1.06,10,1,0,0.0
277,61,1063,NA,Web,1.48,13,1,0,0.0
278,41,1167,APAC,iOS,3.48,10,0,0,0.0
279,22,433,EU,iOS,4.35,9,1,0,0.0
280,42,946,NA,Android,1.54,5,0,0,0.0
281,62,753,NA,Android,1.71,7,0,0,0.0
282,26,446,APAC,Web,3.3,10,0,0,0.0
283,23,691,APAC,Android,10.19,13,1,0,0.0
284,46,1109,NA,iOS,1.56,6,1,1,4.62
285,27,232,NA,Android,4.19,11,0,0,0.0
286,30,992,NA,Web,2.28,4,0,0,0.0
287,21,749,NA,Web,10.97,7,0,0,0.0
288,31,57,NA,Android,22.27,8,1,0,0.0
289,26,627,NA,Android,4.27,6,0,0,0.0
290,48,7,NA,iOS,6.82,10,1,0,0.0
291,34,1058,NA,iOS,1.33,10,0,0,0.0
292,56,318,APAC,Android,29.43,10,0,1,11.23
293,28,746,EU,Android,1.63,7,1,0,0.0
294,61,308,NA,iOS,0.99,4,0,0,0.0
295,37,268,EU,Web,2.89,6,0,0,0.0
296,59,130,NA,Android,0.61,18,0,0,0.0
297,19,1135,LATAM,Android,0.31,13,1,0,0.0
298,21,173,APAC,Android,13.04,7,0,0,0.0
299,18,816,EU,iOS,33.83,21,1,0,0.0
300,62,112,NA,Android,5.14,4,0,0,0.0
301,65,446,NA,Android,4.72,10,1,0,0.0
302,38,1184,EU,Android,2.44,14,1,1,35.68
303,32,1120,APAC,Web,2.58,13,0,0,0.0
304,34,1162,APAC,iOS,3.11,2,1,0,0.0
305,63,455,EU,iOS,3.79,5,0,0,0.0
306,34,1107,NA,Web,5.48,7,1,0,0.0
307,25,512,APAC,Android,2.96,5,1,0,0.0
308,55,574,NA,iOS,0.8,4,1,0,0.0
309,34,817,LATAM,iOS,1.33,11,1,0,0.0
310,44,135,EU,Android,17.49,11,1,1,8.75
311,19,535,EU,Android,1.12,10,0,0,0.0
312,26,166,NA,Web,0.18,10,1,0,0.0
313,24,481,APAC,iOS,2.58,10,0,0,0.0
314,43,72,EU,Android,6.59,13,0,0,0.0
315,20,315,NA,iOS,2.17,13,0,1,4.4
316,19,112,NA,iOS,6.99,10,0,0,0.0
317,22,808,NA,Android,4.63,14,1,0,0.0
318,22,403,NA,Android,14.06,5,1,0,0.0
319,22,815,APAC,iOS,0.59,9,0,0,0.0
320,65,481,APAC,Android,2.7,15,0,0,0.0
321,46,490,APAC,Android,2.04,10,1,0,0.0
322,44,309,EU,Web,6.65,6,0,0,0.0
323,24,190,EU,iOS,5.66,5,0,0,0.0
324,29,156,NA,Android,1.46,3,1,0,0.0
325,48,248,NA,iOS,0.28,1,0,0,0.0
326,60,1066,EU,iOS,1.24,6,0,0,0.0
327,53,409,NA,Android,7.67,4,0,0,0.0
328,55,1092,APAC,Android,8.91,10,0,0,0.0
329,20,988,LATAM,Android,2.56,5,1,0,0.0
330,59,603,NA,iOS,7.61,4,0,0,0.0
331,27,800,APAC,Web,3.98,13,0,0,0.0
332,60,894,NA,Android,5.85,12,1,0,0.0
333,55,4,EU,Web,6.06,11,1,0,0.0
334,44,1173,APAC,Android,1.14,1,1,0,0.0
335,48,1135,APAC,iOS,6.95,10,0,0,0.0
336,50,758,NA,Android,0.43,5,0,0,0.0
337,21,945,NA,Android,8.76,6,1,0,0.0
338,22,583,NA,iOS,9.05,14,1,0,0.0
339,50,166,NA,iOS,1.49,14,0,1,16.09
340,53,734,EU,Android,1.88,8,0,0,0.0
341,18,1186,NA,iOS,14.43,7,1,0,0.0
342,55,1146,EU,iOS,1.84,16,0,0,0.0
343,59,276,LATAM,Web,7.33,19,0,0,0.0
344,33,484,NA,Android,3.1,20,1,0,0.0
345,57,371,NA,Web,2.5,8,0,0,0.0
346,22,421,LATAM,Android,11.67,3,1,0,0.0
347,60,642,LATAM,Android,4.3,20,1,1,6.46
348,26,1192,NA,Android,23.01,1,1,1,5.43
349,25,423,APAC,iOS,2.21,6,0,0,0.0
350,59,1170,EU,Android,4.99,6,0,0,0.0
351,27,124,NA,iOS,4.75,5,0,0,0.0
352,47,568,NA,Android,0.19,8,1,0,0.0
353,40,939,EU,iOS,2.26,18,1,0,0.0
354,52,1160,EU,iOS,1.58,20,1,0,0.0
355,61,752,LATAM,iOS,40.76,6,1,0,0.0
356,42,150,APAC,iOS,3.26,14,1,0,0.0
357,28,410,NA,Android,2.85,15,0,0,0.0
358,20,448,EU,Android,7.38,16,0,1,23.68
359,36,783,EU,Web,2.94,5,1,1,4.4
360,34,352,NA,Android,2.06,5,0,0,0.0
361,58,755,EU,Web,27.56,4,1,1,13.76
362,61,43,EU,Web,4.25,6,0,0,0.0
363,59,919,NA,iOS,0.8,6,0,0,0.0
364,22,1141,LATAM,Android,17.29,7,0,0,0.0
365,44,175,NA,Android,1.6,2,0,0,0.0
366,34,1108,APAC,Android,8.94,22,1,0,0.0
367,51,401,LATAM,iOS,5.35,11,0,0,0.0
368,40,578,APAC,Android,2.21,12,1,0,0.0
369,51,215,NA,Web,1.18,14,1,0,0.0
370,48,1028,EU,Android,2.72,16,0,0,0.0
371,55,1007,NA,iOS,3.75,15,0,0,0.0
372,47,442,EU,iOS,1.71,13,0,0,0.0
373,33,804,LATAM,iOS,0.98,12,0,0,0.0
374,33,1185,EU,Android,2.51,2,0,1,9.74
375,40,1047,EU,Web,1.79,5,0,1,6.55
376,64,756,EU,iOS,12.8,5,1,0,0.0
377,19,822,APAC,Android,2.17,4,0,0,0.0
378,21,605,NA,Web,8.56,13,0,0,0.0
379,59,114,APAC,iOS,0.59,9,0,0,0.0
380,60,946,NA,Android,4.81,7,0,1,3.64
381,40,600,LATAM,Android,1.54,10,0,0,0.0
382,41,1052,LATAM,Android,3.53,6,0,0,0.0
383,48,89,NA,iOS,10.81,14,0,1,8.15
384,48,343,NA,Android,6.8,15,0,0,0.0
385,57,703,NA,Android,0.38,5,0,0,0.0
386,19,477,NA,Android,2.71,6,0,0,0.0
387,47,288,EU,Android,4.52,4,0,0,0.0
388,59,564,APAC,Android,4.45,5,0,0,0.0
389,32,157,APAC,Android,0.61,15,0,0,0.0
390,40,693,EU,iOS,2.26,10,1,0,0.0
391,65,1137,APAC,Android,56.18,10,1,0,0.0
392,51,933,NA,iOS,2.17,9,0,0,0.0
393,55,1013,EU,Android,1.22,3,0,0,0.0
394,38,780,NA,Web,11.06,11,1,0,0.0
395,36,977,NA,iOS,7.4,16,1,1,7.02
396,55,1135,LATAM,Android,5.72,13,1,1,14.32
397,59,363,EU,Android,3.54,6,1,0,0.0
398,62,921,EU,Android,5.03,14,0,0,0.0
399,42,1139,APAC,Android,2.13,10,1,0,0.0
400,26,999,NA,iOS,5.91,17,1,1,4.28
401,25,766,EU,iOS,0.83,9,0,1,20.53
402,55,25,NA,Web,1.81,9,1,0,0.0
403,42,1065,EU,Web,7.66,6,1,0,0.0
404,23,639,EU,iOS,3.72,13,1,0,0.0
405,56,408,NA,Android,2.75,7,0,0,0.0
406,44,893,NA,iOS,10.8,12,1,0,0.0
407,36,1115,LATAM,iOS,10.83,9,1,1,3.55
408,48,640,EU,Android,11.61,16,1,0,0.0
409,34,749,EU,Web,3.54,18,0,1,19.64
410,35,1197,NA,Android,66.1,19,1,0,0.0
411,18,117,APAC,Android,1.19,5,0,0,0.0
412,38,724,EU,iOS,10.6,8,0,0,0.0
413,39,775,NA,iOS,0.59,6,0,0,0.0
414,32,319,EU,Android,2.69,17,0,1,9.98
415,57,787,NA,iOS,10.77,6,0,0,0.0
416,28,20,EU,Android,1.49,9,1,0,0.0
417,32,1106,NA,Android,7.3,12,1,0,0.0
418,54,133,APAC,Android,0.76,9,0,0,0.0
419,32,550,EU,Android,3.25,10,1,1,10.51
420,52,521,LATAM,Android,5.58,10,0,1,11.31
421,48,1073,NA,Web,1.04,7,1,0,0.0
422,63,233,EU,Web,3.24,6,0,0,0.0
423,32,443,APAC,Android,1.81,16,0,0,0.0
424,42,545,NA,Android,0.85,10,0,0,0.0
425,47,744,NA,iOS,3.39,10,0,1,4.76
426,42,331,NA,Android,3.21,9,0,0,0.0
427,38,400,NA,iOS,17.13,11,1,0,0.0
428,38,1095,NA,iOS,1.36,10,1,0,0.0
429,47,235,APAC,iOS,1.12,2,0,0,0.0
430,27,1064,LATAM,Android,2.35,13,0,0,0.0
431,51,857,EU,Android,2.67,9,1,1,6.91
432,28,308,APAC,iOS,5.5,4,0,0,0.0
433,55,699,LATAM,Android,2.2,4,0,1,2.68
434,43,767,EU,Android,3.95,2,1,0,0.0
435,57,619,LATAM,iOS,1.64,4,0,0,0.0
436,18,260,NA,Android,10.67,18,1,0,0.0
437,41,91,EU,Android,23.82,8,0,0,0.0
438,48,541,APAC,iOS,7.08,14,0,0,0.0
439,21,158,NA,Android,1.6,8,0,0,0.0
440,52,1181,APAC,Android,4.85,11,1,0,0.0
441,54,865,APAC,Android,5.82,7,0,1,8.19
442,39,544,EU,Android,10.26,7,0,0,0.0
443,27,127,EU,Android,4.01,5,1,0,0.0
444,51,110,LATAM,Android,1.45,9,0,0,0.0
445,54,214,NA,iOS,1.57,3,0,1,12.57
446,46,515,APAC,Android,2.41,3,0,0,0.0
447,28,315,EU,iOS,0.98,8,0,0,0.0
448,35,155,EU,iOS,1.52,14,0,0,0.0
449,22,998,EU,Android,3.38,6,0,1,8.61
450,56,502,NA,Android,2.07,2,0,0,0.0
451,24,142,APAC,iOS,21.07,1,0,0,0.0
452,23,415,APAC,Android,5.59,12,1,0,0.0
453,38,50,APAC,Web,2.49,14,1,0,0.0
454,38,1015,EU,iOS,1.09,12,0,0,0.0
455,60,803,NA,iOS,4.04,15,0,0,0.0
456,25,376,EU,Android,0.94,13,1,0,0.0
457,50,1161,NA,Web,5.4,4,0,1,10.06
458,30,524,NA,iOS,1.92,5,1,0,0.0
459,40,672,NA,Android,8.81,6,0,0,0.0
460,47,1130,LATAM,iOS,5.67,2,1,0,0.0
461,46,563,LATAM,Android,10.43,12,0,0,0.0
462,25,578,NA,iOS,6.87,15,0,0,0.0
463,64,896,APAC,Android,2.8,11,1,0,0.0
464,20,555,APAC,iOS,1.16,14,1,0,0.0
465,32,682,APAC,Android,2.75,6,0,0,0.0
466,58,180,APAC,Android,6.0,8,0,0,0.0
467,49,719,EU,Android,0.63,9,1,0,0.0
468,63,320,EU,Android,1.04,5,0,0,0.0
469,45,62,NA,iOS,0.92,10,0,0,0.0
470,64,569,NA,iOS,7.54,2,1,0,0.0
471,64,497,EU,iOS,1.68,14,0,0,0.0
472,57,766,APAC,iOS,0.87,5,0,0,0.0
473,20,797,EU,Android,4.04,5,1,0,0.0
474,25,59,LATAM,iOS,5.27,6,1,0,0.0
475,22,430,NA,Web,5.93,3,0,0,0.0
476,46,72,NA,Android,1.77,10,0,0,0.0
477,41,1176,EU,iOS,1.84,17,0,0,0.0
478,34,895,APAC,Android,1.64,10,0,0,0.0
479,64,762,APAC,Android,1.82,1,0,0,0.0
480,22,37,NA,iOS,1.61,13,0,0,0.0
481,39,482,APAC,Android,2.96,12,1,0,0.0
482,37,298,EU,Android,1.72,7,0,0,0.0
483,44,713,EU,iOS,1.0,2,0,0,0.0
484,20,842,LATAM,Web,17.02,17,0,0,0.0
485,37,560,EU,Android,4.46,15,0,0,0.0
486,22,924,APAC,Web,2.27,11,0,0,0.0
487,36,655,EU,Android,3.38,7,0,1,4.29
488,33,712,NA,Android,9.83,2,1,0,0.0
489,62,454,APAC,Android,2.6,4,0,1,2.82
490,47,795,EU,Android,2.73,8,1,0,0.0
491,63,539,APAC,iOS,3.61,9,0,0,0.0
492,52,824,LATAM,Android,1.64,6,0,1,6.26
493,30,107,NA,Web,4.2,11,0,0,0.0
494,46,7,APAC,iOS,23.1,11,0,0,0.0
495,36,481,EU,Android,7.16,5,0,1,9.62
496,46,247,NA,iOS,1.91,4,1,0,0.0
497,19,1084,NA,Android,24.99,11,0,0,0.0
498,31,952,EU,Android,2.68,8,1,0,0.0
499,38,288,NA,Web,16.85,8,1,0,0.0
500,63,195,NA,iOS,2.02,20,1,1,18.13
501,22,1122,APAC,Android,2.9,13,1,0,0.0
502,47,430,EU,iOS,5.91,7,1,0,0.0
503,28,1056,EU,iOS,2.01,7,0,0,0.0
504,53,599,APAC,Android,4.12,3,1,0,0.0
505,60,824,EU,Android,0.57,10,1,1,6.92
506,20,303,APAC,Web,3.67,6,0,0,0.0
507,31,927,NA,Android,2.35,5,0,0,0.0
508,36,525,NA,iOS,2.33,8,0,0,0.0
509,50,109,NA,Android,6.3,5,0,0,0.0
510,26,932,NA,Web,1.65,3,0,0,0.0
511,43,970,EU,iOS,6.33,17,1,0,0.0
512,27,1056,LATAM,Android,3.18,3,1,0,0.0
513,47,712,LATAM,iOS,1.18,6,0,0,0.0
514,35,612,NA,iOS,6.78,12,0,0,0.0
