respondent_id,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16
37,4,4,4,4,4,3,3,3,2,4,3,2,3,4,2,3
38,4,4,3,4,3,4,2,3,3,3,3,2,4,2,2,2
39,4,3,3,3,3,2,3,3,1,3,1,1,2,2,2,3
40,4,3,3,3,5,3,3,3,2,2,1,2,3,2,4,2
41,3,4,3,3,4,4,3,3,3,3,3,2,5,4,4,3
42,3,3,3,4,3,4,4,2,4,3,2,2,3,4,2,3
43,4,5,4,4,5,4,4,4,3,3,1,1,4,4,3,2
44,4,3,2,2,4,3,4,2,3,1,1,2,2,2,3,2
45,4,4,4,3,4,5,4,2,2,3,3,3,3,4,4,2
46,3,4,3,4,5,3,4,5,3,2,3,3,3,4,2,4
47,5,5,5,5,4,3,4,5,4,3,4,2,4,5,3,3
48,4,5,4,5,3,3,5,1,3,2,1,3,2,2,3,4
49,4,4,3,3,2,2,1,2,2,2,3,1,3,3,2,3
50,5,5,5,5,2,3,2,4,4,3,2,2,4,5,3,4
51,3,4,4,3,1,2,2,2,1,1,2,3,4,2,1,3
52,3,4,3,4,2,3,2,3,2,3,3,2,4,2,2,3
53,4,4,4,4,4,4,4,4,4,3,4,4,5,3,4,3
54,5,5,4,4,2,3,3,3,2,3,3,3,3,3,2,3
55,5,5,4,5,3,2,3,2,3,3,4,2,2,4,3,4
56,4,3,3,2,4,3,4,3,2,3,2,3,4,2,3,3
57,4,4,4,4,3,2,2,1,2,2,2,3,2,4,2,4
58,4,3,2,3,4,2,3,4,3,4,2,3,3,3,3,2
59,4,4,3,4,2,2,4,3,1,1,2,2,4,4,1,2
60,4,4,3,3,3,4,3,3,3,3,2,3,5,2,3,2
61,4,3,3,3,3,1,2,2,3,3,3,2,3,4,3,2
62,2,3,2,2,3,1,2,3,2,1,2,1,5,2,2,2
63,4,4,2,4,4,3,4,4,3,3,1,1,2,4,4,3
64,2,3,3,2,3,2,2,3,3,3,2,3,3,2,2,4
65,4,4,3,3,1,3,4,2,2,2,1,2,2,3,3,3
66,3,2,2,3,4,3,2,2,2,1,4,3,4,3,3,3
67,5,5,5,3,2,4,5,4,3,4,2,2,4,3,3,4
68,5,4,4,4,3,2,3,3,2,3,1,3,4,4,2,3
69,5,4,5,5,2,3,4,3,2,2,3,3,4,4,2,2
70,4,5,4,4,4,4,4,3,1,3,4,2,3,3,4,3
71,4,3,4,4,3,3,4,3,3,1,1,1,3,4,4,3
72,5,4,4,3,4,3,3,3,2,4,4,2,2,4,5,4
73,4,5,5,4,1,3,3,2,2,4,2,4,3,4,3,3
74,4,5,4,4,2,3,4,4,4,2,3,2,3,4,2,3
75,5,4,4,5,3,3,4,3,4,3,4,3,4,3,4,4
76,5,5,5,4,5,3,5,4,2,3,4,3,3,5,3,4
77,4,5,4,3,3,3,4,2,3,3,3,1,4,3,3,4
78,3,2,2,2,3,1,3,1,1,2,2,3,1,1,2,3
79,5,5,4,4,4,4,3,3,4,1,2,4,5,3,5,4
80,4,5,5,3,3,3,3,5,2,2,2,2,3,2,4,3
81,3,3,4,3,2,2,3,3,2,1,3,1,2,2,3,3
82,4,4,4,5,3,2,2,2,1,2,3,2,3,3,2,2
83,4,5,4,2,3,3,4,3,4,3,1,3,4,3,5,3
84,2,2,3,3,2,2,3,4,1,1,1,1,2,3,3,3
85,2,3,1,2,3,3,4,2,3,2,3,2,2,2,4,2
86,3,4,4,5,3,3,4,3,3,3,3,2,3,4,4,4
87,4,3,5,3,4,3,4,3,2,2,3,2,2,4,3,2
88,4,4,5,3,4,3,3,2,3,2,1,4,3,4,3,2
89,4,3,4,4,4,2,3,2,1,1,2,2,1,3,2,3
90,3,4,1,2,2,2,3,3,2,1,2,5,2,3,1,2
91,4,4,3,5,1,2,3,1,2,3,2,2,3,3,2,3
92,2,3,5,2,4,3,5,5,3,4,4,5,5,4,5,4
93,5,2,4,4,1,4,3,3,4,4,5,4,3,3,3,2
94,3,4,4,3,3,3,5,3,1,1,1,1,3,3,2,3
95,4,5,4,5,3,3,3,3,3,2,2,3,4,4,2,3
96,3,2,4,2,4,4,3,3,2,4,2,2,1,2,4,3
97,4,4,4,3,4,3,3,2,4,2,2,1,2,2,3,2
98,4,3,4,2,2,2,1,1,1,1,1,2,3,1,2,1
99,4,5,5,3,3,3,4,3,4,3,4,4,3,3,3,4
100,2,4,4,1,3,2,4,2,2,4,3,3,3,2,1,4
101,4,4,4,4,4,4,4,4,2,1,2,3,3,2,2,4
102,4,4,4,3,4,3,3,3,2,1,3,2,5,4,3,2
103,5,5,4,5,2,1,3,4,4,3,3,1,3,3,4,4
104,5,3,4,3,2,2,3,5,2,2,3,2,4,4,2,2
105,5,5,4,5,2,2,2,3,3,2,2,1,4,3,2,4
106,3,4,3,4,3,3,3,2,2,1,1,1,2,3,2,2
107,3,4,3,3,4,2,2,3,4,4,4,4,4,3,5,2
108,4,4,3,3,3,4,3,3,4,2,3,4,2,4,2,3
109,3,5,4,3,3,3,4,3,2,4,3,3,4,3,4,3
110,4,5,4,4,2,3,4,2,2,3,3,2,3,4,2,3
111,4,4,3,4,3,3,4,4,2,1,3,3,3,2,3,3
112,5,4,5,5,3,2,5,4,3,3,2,3,3,5,2,4
113,5,5,4,5,3,3,3,4,5,3,3,2,4,3,5,5
114,4,4,5,4,2,3,3,3,3,2,1,1,4,5,4,3
115,4,5,2,2,2,4,4,3,1,2,3,1,3,1,2,3
116,4,4,3,2,4,3,5,4,4,3,3,2,5,3,3,3
117,5,5,5,5,4,4,4,4,3,4,2,2,4,4,4,4
118,5,5,3,5,4,3,5,1,2,3,4,3,4,3,4,5
119,3,4,1,3,2,3,4,1,1,1,1,2,2,2,3,1
120,4,4,3,4,5,3,4,1,3,3,3,2,4,2,3,2
121,3,3,4,2,2,2,3,1,1,2,1,2,2,2,2,2
122,3,4,4,5,2,3,3,1,2,1,2,2,3,4,3,3
123,4,4,5,5,4,4,3,2,4,2,3,3,3,3,5,3
124,5,4,3,5,4,5,5,4,1,3,2,1,4,3,4,3
125,3,2,2,2,3,4,4,5,3,3,3,4,3,2,3,2
126,4,5,5,3,4,5,5,5,4,2,3,2,5,4,3,4
127,3,5,4,4,3,2,3,2,3,2,1,2,4,3,3,2
128,5,5,4,4,3,4,3,3,2,2,2,2,3,4,4,4
129,3,4,4,2,4,4,5,4,3,2,2,1,5,3,3,3
130,3,5,4,5,4,3,4,4,3,2,1,2,4,3,3,2
131,4,5,2,3,3,4,3,2,2,2,2,2,1,3,2,3
132,4,5,3,5,5,4,4,3,3,4,3,3,3,3,4,4
133,3,2,3,2,3,4,2,4,2,1,3,3,2,2,3,3
134,4,5,4,5,4,5,3,5,2,1,3,3,3,5,5,4
135,4,4,2,3,3,2,2,1,2,1,3,2,4,3,2,3
136,2,3,4,2,2,2,2,2,1,1,1,1,1,2,3,2
137,5,3,4,2,3,2,4,3,3,2,3,4,4,4,2,3
138,3,1,3,2,4,2,3,3,4,3,2,3,4,3,2,2
139,3,5,5,4,4,2,4,3,2,1,2,3,3,5,1,4
140,3,3,4,4,3,4,3,3,3,2,2,3,3,1,1,5
141,5,5,5,3,4,5,4,4,5,5,5,5,5,4,4,5
142,4,4,3,3,3,4,5,3,1,3,2,4,3,4,3,3
143,5,5,5,5,5,5,4,3,1,2,3,3,4,3,5,4
144,4,4,4,3,4,4,3,3,3,4,4,4,3,5,3,3
145,3,4,5,4,3,4,3,2,2,2,3,2,3,3,3,3
146,3,4,4,5,3,4,4,4,4,3,3,3,5,3,3,3
147,3,4,4,4,3,3,3,2,2,2,2,3,3,2,3,4
148,3,2,3,4,4,3,4,3,3,2,2,3,2,4,2,3
149,5,5,5,5,3,3,4,3,2,2,2,2,5,3,2,4
150,4,5,5,4,3,3,5,3,4,3,3,1,4,5,4,4
151,4,5,5,3,3,1,1,2,3,1,2,3,3,2,1,3
152,3,4,3,2,3,2,3,2,3,3,3,4,3,3,2,3
153,4,5,4,4,4,4,5,4,5,3,3,3,5,4,3,4
154,4,3,3,3,4,1,2,2,4,2,3,2,3,1,3,2
155,5,4,3,4,1,1,2,3,2,2,2,2,2,2,2,3
156,4,5,5,5,4,4,4,2,2,1,3,2,2,4,2,4
157,5,3,4,5,2,3,4,3,2,2,1,1,4,5,3,3
158,5,4,4,5,3,1,3,1,1,1,1,1,3,3,2,1
159,4,4,4,5,4,4,5,4,1,1,1,2,3,4,2,3
160,5,3,5,3,3,2,3,1,3,2,2,2,2,3,4,4
161,4,4,4,4,2,3,5,4,2,3,2,4,3,3,4,3
162,5,3,3,4,4,3,3,4,4,4,5,2,5,5,3,4
163,2,4,2,3,2,3,3,2,2,2,1,1,5,3,2,2
164,3,5,4,4,3,3,4,3,4,4,4,3,3,2,4,3
165,3,3,3,4,2,4,3,3,2,1,1,1,2,4,2,2
166,3,3,3,2,3,2,4,3,3,2,2,1,2,3,5,3
167,5,4,4,4,4,3,3,5,2,2,3,2,5,3,4,3
168,2,3,3,3,3,1,2,3,1,2,1,2,2,1,1,2
169,3,4,5,2,4,3,3,3,2,2,2,2,3,4,4,3
170,5,5,3,5,3,2,2,1,2,3,3,4,3,2,3,3
171,5,5,5,4,5,4,4,3,2,2,3,2,5,4,5,4
172,4,4,3,4,1,1,3,1,2,1,3,4,2,2,2,2
173,4,5,4,4,2,3,3,2,4,2,3,3,3,3,5,3
174,3,3,4,4,4,4,4,3,2,1,2,3,3,3,4,3
175,2,3,4,2,3,3,3,2,3,3,3,3,3,3,3,2
176,5,5,4,5,3,4,3,3,3,2,2,2,3,3,4,2
177,3,3,2,3,3,3,5,1,1,2,1,1,3,1,2,4
178,3,3,4,3,4,4,4,1,3,4,4,2,4,3,4,2
179,5,5,5,4,4,3,4,4,2,3,3,4,3,4,3,4
180,3,4,1,3,1,2,2,3,2,1,1,1,1,1,2,2
181,4,4,4,3,2,3,4,3,1,1,1,3,4,2,4,4
182,4,5,4,5,4,3,3,4,2,3,2,4,4,5,3,3
183,3,4,4,3,4,3,3,3,3,4,3,2,4,4,4,4
184,5,4,4,4,3,2,4,2,3,2,3,2,5,2,2,1
185,4,5,4,4,3,3,3,5,4,3,4,2,4,4,3,4
186,5,5,4,4,3,3,4,5,3,3,2,3,4,5,5,4
187,3,2,3,1,4,3,4,4,4,3,5,3,3,4,4,3
188,3,4,4,3,3,3,4,3,2,2,4,2,5,3,3,2
189,4,3,4,3,5,5,4,4,3,3,2,2,4,4,3,4
190,3,2,3,4,4,2,5,2,3,3,3,2,2,2,2,2
191,5,5,5,4,1,1,4,3,2,2,2,1,3,4,2,2
192,3,4,4,3,5,4,5,3,2,3,4,5,4,3,4,4
193,3,3,3,3,2,3,2,3,2,2,3,1,2,3,1,2
194,2,2,3,3,4,3,3,3,4,2,5,4,3,3,4,3
195,4,3,4,3,1,3,3,1,3,1,4,2,4,3,2,3
196,3,3,2,3,3,3,3,3,2,2,3,2,3,3,3,2
197,2,5,3,4,3,3,4,2,1,3,2,2,3,3,3,1
198,4,5,4,5,3,3,4,3,5,4,5,3,5,5,5,4
199,4,5,3,3,3,4,3,3,2,2,4,1,4,3,4,4
200,3,3,1,2,1,1,2,1,2,1,1,1,2,2,1,2
201,5,4,4,5,4,3,3,3,3,3,5,3,4,4,5,3
202,4,5,4,4,4,3,5,3,4,3,4,3,3,3,4,5
203,4,3,4,4,3,4,4,3,3,1,2,2,2,3,3,3
204,1,2,2,2,4,4,3,4,3,4,3,3,3,4,4,3
205,2,3,3,3,2,3,3,4,3,2,2,1,4,3,1,4
206,4,5,4,4,3,3,4,2,2,1,2,3,3,3,4,2
207,4,3,5,5,4,3,4,5,2,2,2,3,4,4,4,4
208,4,4,3,3,3,3,4,3,2,2,1,2,3,4,4,2
209,3,3,5,3,4,4,3,2,3,3,3,2,3,5,3,4
210,3,3,2,2,2,3,3,2,1,1,1,1,2,2,4,2
211,4,5,5,4,4,4,5,4,3,2,3,2,3,3,3,3
212,4,5,5,5,3,4,3,3,2,1,2,2,2,4,3,4
213,4,4,5,4,2,1,4,3,2,3,4,3,3,4,2,3
214,5,4,4,5,5,5,5,3,4,3,4,5,5,5,4,4
215,4,4,4,4,2,4,3,2,2,3,2,2,2,4,3,3
216,4,4,4,3,3,3,3,3,2,2,1,2,3,2,3,2
217,3,4,4,4,2,3,3,2,2,3,2,2,3,2,4,3
218,2,4,5,4,3,3,3,4,2,1,2,3,2,3,2,2
219,3,5,5,3,4,3,4,3,2,2,2,1,3,3,2,2
220,5,5,4,4,3,3,4,3,3,3,4,3,3,3,3,4
221,5,5,3,5,2,4,3,4,4,1,2,3,1,3,2,4
222,3,4,4,4,3,5,4,4,3,4,2,5,5,5,4,3
223,4,4,3,3,3,2,3,3,1,1,1,2,3,2,3,3
224,4,5,4,3,3,3,4,4,1,1,1,4,3,4,4,4
225,5,4,3,4,4,3,3,4,3,4,2,3,5,5,5,4
226,4,4,5,5,4,2,3,3,2,3,3,2,3,3,3,3
227,5,5,5,4,5,3,2,4,4,3,5,4,5,4,3,5
228,3,3,5,4,4,3,3,3,4,5,4,3,4,3,2,4
229,4,5,2,4,3,1,3,2,3,3,3,3,4,2,1,3
230,5,5,5,5,4,2,5,3,4,5,4,3,4,3,3,5
231,3,3,5,3,3,4,4,2,5,2,5,4,4,5,4,2
232,3,5,3,4,4,4,3,3,1,2,2,2,4,3,3,4
233,3,3,3,2,2,1,3,2,1,1,1,1,2,2,3,3
234,5,3,3,2,4,5,3,4,3,2,4,3,4,4,4,3
235,4,5,4,3,2,2,1,2,1,1,3,2,4,3,3,1
236,5,5,5,5,4,4,2,2,5,3,4,3,4,4,4,5
237,3,4,3,4,4,4,3,2,2,3,2,3,2,3,2,1
238,2,4,3,3,3,3,5,3,2,4,3,2,4,3,2,3
239,4,5,5,3,3,3,4,2,3,2,3,3,4,2,5,4
240,4,5,3,4,4,4,4,4,2,1,3,1,4,3,3,3
241,4,5,3,4,3,2,3,2,3,1,2,1,2,2,2,1
242,3,5,3,3,2,3,4,1,1,1,1,1,3,3,2,4
243,3,5,3,3,2,3,3,2,3,1,3,3,4,1,3,2
244,4,4,4,4,5,5,4,2,4,3,2,4,5,5,5,4
245,4,3,4,4,3,3,3,3,3,3,2,2,1,2,3,2
246,5,4,5,4,5,5,5,4,4,3,3,3,3,5,5,5
247,3,3,2,1,3,2,4,2,2,2,1,1,3,3,4,1
248,4,5,3,3,2,3,2,3,2,2,3,3,2,3,4,4
249,4,4,4,5,5,4,4,3,3,2,1,1,5,3,4,3
250,5,5,5,4,3,5,3,1,3,1,3,2,4,4,4,4
251,2,5,3,3,4,3,3,4,2,1,2,4,3,2,2,2
252,4,4,4,2,3,4,4,3,1,1,1,1,4,1,3,2
253,2,3,3,2,1,1,2,1,2,1,1,1,3,2,2,2
254,4,4,4,2,4,2,4,2,3,2,3,2,4,3,3,4
255,3,4,3,2,3,2,4,4,3,3,3,2,2,2,4,3
256,3,3,4,3,3,2,2,3,3,1,3,1,3,3,1,3
257,4,5,4,3,3,1,3,3,2,2,3,4,4,3,3,3
258,3,3,4,4,4,3,3,3,4,2,2,2,3,3,4,4
259,4,4,3,3,2,3,4,3,3,2,2,2,3,3,4,2
260,4,5,5,5,4,2,4,3,3,3,3,2,3,2,4,3
261,5,5,4,5,3,4,4,3,1,2,3,3,3,4,3,3
262,3,2,4,2,4,4,3,2,1,2,2,1,2,2,3,3
263,4,3,5,4,3,2,4,2,1,1,2,2,2,2,2,4
264,4,4,4,2,3,3,3,1,4,4,3,3,2,2,2,3
265,3,2,3,2,3,3,3,2,3,2,2,2,4,4,2,3
266,5,4,4,4,3,3,3,2,2,3,3,3,4,2,3,3
267,5,5,4,4,4,3,3,4,2,1,2,2,5,4,3,4
268,4,3,4,3,3,3,4,2,4,2,1,2,3,2,2,3
269,5,4,4,2,3,2,2,2,4,3,4,2,3,3,3,3
270,2,4,4,3,1,1,3,1,3,1,2,3,3,3,2,2
271,4,4,3,4,5,5,5,5,4,1,4,3,3,3,4,3
272,5,5,5,5,5,4,5,4,4,3,2,3,5,5,4,4
273,5,4,4,4,2,3,3,1,1,2,2,3,4,3,2,4
274,3,4,3,3,4,3,3,4,2,3,3,2,3,2,3,4
275,2,2,2,2,3,3,3,3,3,1,2,1,2,2,3,3
276,4,4,4,4,3,4,3,3,2,2,2,1,3,4,4,4
277,5,5,4,4,3,3,5,2,2,1,3,2,3,4,4,3
278,4,4,2,3,3,2,2,3,2,4,2,2,3,2,3,3
279,4,5,4,3,3,1,3,2,1,2,3,3,5,2,1,4
280,2,4,2,3,3,3,3,4,2,2,3,2,2,1,2,4
281,3,3,3,5,3,4,4,3,3,1,3,2,4,4,3,4
282,5,4,4,3,3,4,3,3,3,4,5,4,3,3,5,4
283,4,2,4,3,4,2,4,2,4,2,2,2,4,4,3,4
284,5,5,5,3,3,3,3,3,3,1,3,2,3,3,3,3
285,4,4,3,4,4,4,4,3,1,1,3,3,4,4,4,3
286,3,4,4,4,2,3,5,4,1,1,3,3,5,3,2,1
287,4,3,4,3,5,4,3,4,4,4,4,4,3,4,4,4
288,3,5,5,4,3,2,4,2,2,2,1,1,2,3,1,2
289,4,5,4,4,3,3,3,1,4,2,3,2,5,4,3,2
290,5,5,5,4,3,4,3,3,4,5,3,4,4,5,4,3
291,4,4,5,4,4,2,3,3,4,4,5,3,3,5,4,3
292,3,3,3,4,1,3,3,4,3,3,2,4,2,3,2,4
293,5,4,4,5,3,2,3,4,3,2,1,3,5,3,3,2
294,4,4,4,4,4,5,4,5,4,4,4,4,4,3,4,4
295,5,5,5,4,4,2,2,3,3,2,2,1,4,4,3,4
296,3,2,4,3,3,3,3,2,2,2,2,3,4,4,3,4
297,3,4,3,4,4,3,3,3,4,3,3,3,4,3,3,2
298,4,4,3,4,4,4,3,1,2,4,4,2,2,4,4,4
299,3,4,3,3,4,2,3,3,3,4,4,4,4,3,2,3
300,3,5,3,3,4,4,4,3,4,4,4,3,3,4,5,3
301,3,4,3,4,1,4,5,3,3,2,3,2,3,1,3,3
302,5,3,3,2,4,3,3,2,1,3,2,3,4,4,3,3
303,3,4,3,4,5,5,4,3,3,3,3,3,4,4,5,3
304,5,5,3,3,4,2,3,5,1,2,3,3,4,3,4,2
305,5,3,2,1,2,2,2,3,2,2,2,3,2,4,3,3
306,5,4,5,3,4,3,3,2,2,1,2,3,5,3,3,2
307,2,4,2,4,3,2,2,2,2,1,3,3,3,1,2,3
308,3,4,4,3,4,1,1,2,3,2,2,3,3,3,2,4
309,4,3,3,2,2,2,2,2,3,2,3,1,4,3,1,3
310,5,5,4,4,2,3,3,2,3,3,3,3,3,3,3,2
311,3,3,2,3,1,3,3,2,2,2,2,2,2,3,2,3
312,5,5,4,4,2,3,3,3,2,4,3,4,4,2,3,5
313,3,4,3,3,4,4,5,3,3,3,3,3,4,4,2,4
314,3,4,3,3,4,4,3,3,1,1,2,2,3,2,4,3
315,4,2,3,3,4,2,3,4,2,1,3,1,3,1,2,3
316,4,4,4,3,3,3,4,1,2,2,3,2,3,4,3,4
317,4,5,4,4,4,3,3,3,4,2,3,2,4,4,4,5
318,4,3,5,3,4,2,3,2,1,1,2,1,3,4,3,3
319,5,4,4,2,4,4,3,3,3,3,2,1,3,3,4,3
320,2,3,2,1,3,3,3,3,2,1,1,1,2,2,1,1
321,3,3,4,4,3,4,5,3,3,3,4,4,3,3,3,3
322,3,3,3,3,2,3,3,3,3,1,3,3,2,3,3,3
323,5,5,4,5,3,4,3,2,2,2,2,2,4,3,3,2
324,3,4,3,2,4,4,5,2,3,2,3,3,4,4,4,2
325,5,5,5,5,5,3,5,4,4,2,2,4,5,5,3,4
326,3,3,4,3,3,1,3,1,2,2,3,3,4,3,3,4
327,4,5,5,4,5,5,4,4,3,2,2,1,4,4,4,4
328,5,4,5,5,3,1,4,1,1,1,3,2,3,2,2,2
329,3,3,3,2,3,3,4,4,3,3,3,3,4,2,4,1
330,5,5,5,5,5,4,5,4,3,3,2,2,5,3,3,5
331,3,3,5,2,3,4,4,4,1,2,2,2,4,3,3,3
332,4,4,3,3,3,3,4,3,3,2,2,1,4,4,5,4
333,3,5,5,4,2,1,3,3,2,2,1,2,3,4,3,3
334,4,4,3,4,3,4,5,3,3,2,2,1,4,3,3,2
335,4,5,5,5,4,3,5,2,3,3,3,3,3,2,2,5
336,4,3,4,4,5,3,2,2,3,2,4,3,4,4,3,1
337,3,4,4,3,3,3,4,2,2,2,3,2,2,3,2,3
338,2,5,3,4,1,3,2,2,1,1,1,2,4,1,3,2
339,2,5,3,4,3,3,2,3,1,1,2,1,2,3,2,3
340,5,2,2,4,2,4,4,5,3,3,5,3,3,2,3,3
341,4,4,5,4,2,3,4,4,3,1,1,1,5,3,2,4
342,3,3,3,3,2,2,2,1,1,2,1,1,3,3,1,2
343,5,5,5,5,5,4,5,2,3,2,2,3,5,5,3,5
344,4,4,3,3,3,2,3,1,1,1,1,1,1,1,1,2
345,4,4,5,3,4,3,4,4,2,2,3,3,3,4,4,4
346,4,1,3,3,3,4,4,2,2,2,2,3,3,3,3,3
347,4,5,4,3,4,4,4,5,2,3,1,2,3,3,3,3
348,4,4,3,4,3,3,5,4,3,3,2,1,4,4,2,4
349,4,4,5,5,3,4,5,4,3,3,1,1,3,2,3,4
350,4,4,5,4,4,4,4,3,2,2,2,3,3,2,4,4
351,4,4,3,3,2,4,3,4,4,1,2,3,4,4,4,2
352,3,5,3,2,4,3,4,2,2,2,2,3,1,4,3,2
353,3,5,5,4,4,3,3,3,3,2,1,3,3,4,4,5
354,5,5,2,2,2,3,3,3,2,2,4,2,2,4,3,1
355,2,2,1,2,2,1,3,1,1,1,1,1,2,1,1,1
356,5,5,4,3,3,3,4,3,3,1,2,2,4,4,2,3
357,5,3,3,4,2,2,2,1,1,1,1,1,2,3,1,2
358,4,3,3,3,2,4,3,4,3,4,3,3,3,3,3,3
359,3,5,4,4,4,2,4,3,1,1,1,2,3,2,3,3
360,5,5,5,4,3,1,2,1,2,1,2,3,2,2,2,4
361,5,5,5,5,3,3,4,2,4,3,2,3,4,3,3,4
362,5,5,5,5,3,3,4,4,2,1,1,4,4,3,3,4
363,3,3,3,5,3,3,2,3,4,3,2,3,2,4,3,3
364,5,5,5,5,3,4,3,3,4,3,4,3,5,4,4,5
365,2,4,3,2,3,2,2,3,3,4,2,2,3,1,2,4
366,2,4,1,3,3,1,3,2,4,3,2,2,2,4,3,1
367,4,3,4,3,4,4,3,3,3,4,4,3,2,3,5,4
368,5,5,4,4,2,4,4,3,3,1,3,2,5,4,3,4
369,4,5,5,5,3,2,4,4,3,3,3,2,5,5,3,3
370,5,5,5,5,3,2,3,2,3,3,3,3,5,4,3,4
371,2,3,2,3,3,3,3,3,2,1,2,2,3,3,2,2
372,4,5,3,3,2,4,4,3,3,2,4,2,3,5,3,4
373,3,4,4,4,2,1,3,2,1,1,3,4,4,3,2,2
374,4,4,5,4,3,3,3,4,2,1,3,3,1,4,4,3
375,2,3,2,3,2,2,3,2,3,1,2,1,3,3,2,2
376,5,4,5,4,3,5,5,4,1,1,3,3,5,3,3,5
377,4,4,5,3,4,3,3,2,3,1,3,2,3,1,3,4
378,2,4,2,3,3,2,1,3,4,3,1,3,1,2,2,2
379,5,4,5,5,4,1,3,2,3,3,2,2,3,3,3,4
380,4,5,3,4,3,3,3,4,3,2,2,3,3,5,4,3
381,4,5,5,4,1,2,2,2,2,4,3,2,2,4,2,3
382,3,3,2,4,1,3,2,3,3,3,3,4,3,3,3,3
383,5,4,4,4,2,3,4,4,3,2,2,1,3,3,2,2
384,5,3,3,3,3,2,2,3,1,1,1,3,2,3,2,2
385,4,5,5,3,3,4,3,3,3,3,3,2,5,4,3,4
386,2,2,4,2,2,2,2,2,1,2,2,1,3,5,1,4
387,4,4,2,4,4,3,4,2,3,4,2,3,5,3,4,4
388,1,1,1,1,3,3,3,4,2,2,3,2,4,3,2,1
389,4,4,5,3,3,3,4,3,3,4,3,3,3,4,5,4
390,5,5,2,4,2,2,3,3,4,3,2,1,3,3,2,3
391,5,3,4,3,3,3,4,2,2,3,2,3,2,3,4,2
392,4,5,3,4,2,3,3,4,3,3,2,3,3,2,4,2
393,5,5,5,5,2,1,3,2,1,1,1,1,3,4,2,3
394,4,4,2,4,2,2,2,2,4,3,3,2,1,3,2,4
395,5,5,4,5,3,3,2,1,3,3,3,2,4,4,2,2
396,4,4,4,5,5,3,4,3,1,2,3,2,2,3,4,3
397,2,3,3,3,4,5,4,4,2,2,2,2,3,3,2,4
398,3,3,3,2,4,3,3,2,2,2,3,2,3,3,2,2
399,4,5,4,3,3,4,3,3,1,4,3,2,4,2,3,3
400,4,5,3,3,4,3,3,5,2,4,2,2,4,3,3,4
401,5,2,3,2,1,1,2,2,2,1,2,2,1,2,1,1
402,4,4,3,3,3,3,5,4,2,3,2,4,3,4,3,4
403,4,2,3,3,5,2,3,3,2,3,1,2,3,1,3,4
404,2,4,2,2,4,3,3,3,1,2,2,3,2,2,1,2
405,4,5,3,3,3,4,3,3,2,2,4,2,4,3,4,2
406,4,5,4,4,5,5,5,5,3,2,2,2,4,2,4,4
407,5,4,2,3,3,1,3,2,1,1,2,2,2,2,1,3
